Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
13050,0.0004,0.0003,0.0004,6.5642,6.881,6.6594,0.0004,9.1495,6.8252
13100,0.0009,0.0004,0.0002,6.7488,6.6718,8.0187,0.0004,6.6334,7.1296
13150,0.0005,0.0003,0.0003,7.0454,7.0491,7.0108,0.0005,6.8295,7.2438
13200,0.0005,0.0003,0.0003,6.6195,7.3187,7.1334,0.0005,6.852,7.0092
13250,0.0005,0.0003,0.0003,7.4338,6.8963,6.9065,0.0005,7.7403,6.8282
13300,0.0005,0.0003,0.0003,7.1285,7.1478,6.716,0.0003,7.5784,7.4763
13350,0.0007,0.0003,0.0003,6.76,6.9017,7.9973,0.0005,6.819,6.9315
13400,0.0025,0.0006,0.0003,7.106,7.062,6.9214,0.0005,7.6861,6.9593
13450,0.0006,0.0003,0.0003,6.8475,7.9853,7.0281,0.0004,6.926,7.0412
13500,0.0005,0.0003,0.0003,7.3194,6.8318,7.3442,0.0014,7.0396,6.5547
13550,0.0009,0.0004,0.0003,7.4135,7.5588,7.2095,0.0004,7.2412,7.3644
13600,0.0008,0.0004,0.0002,7.0857,7.9346,7.7937,0.0006,7.7836,11.129
13650,0.0007,0.0003,0.0003,7.1487,7.2918,7.2361,0.0005,6.9866,7.3741
13700,0.0007,0.0003,0.0003,6.9732,9.4671,9.0149,0.0007,7.1287,7.6555
13750,0.0009,0.0003,0.0003,7.1309,7.5022,6.9638,0.0005,7.4487,7.0864
13800,0.0007,0.0007,0.0003,7.7343,7.476,7.3261,0.0007,7.3755,7.009
13850,0.0013,0.0003,0.0003,7.4949,7.2446,7.5506,0.0005,7.3561,7.8745
13900,0.0007,0.0004,0.0003,7.2207,7.7651,6.9857,0.0004,7.2697,7.2149
13950,0.0011,0.0011,0.0003,7.4194,7.5134,7.1211,0.0004,7.7959,7.3845
14000,0.0006,0.0003,0.0003,7.7176,7.0839,7.2786,0.0004,7.2152,8.7675
14050,0.0005,0.0003,0.0004,7.3969,8.0127,8.0793,0.0005,7.5738,7.1628
14100,0.0005,0.0003,0.0003,7.5806,7.5697,7.2844,0.0005,7.5464,7.2937
14150,0.0006,0.0003,0.0004,7.2442,7.5595,7.8739,0.0004,7.4527,7.2369
14200,0.0005,0.0002,0.0003,7.6394,7.5665,8.0544,0.0005,7.5658,8.4989
14250,0.0005,0.0003,0.0003,8.6227,8.2757,7.8238,0.0005,7.5697,7.6705
14300,0.0011,0.0004,0.0003,8.4297,10.062,7.7514,0.0007,9.8307,9.9754
